CustomerID, OrderValue, Date, TransactionID, ProductID, Quantity
69, 1597, 2001-01-13, 0, 1, 4
69, 1597, 2001-01-13, 0, 4, 5
69, 1992, 2001-01-16, 1, 1, 4
69, 1992, 2001-01-16, 1, 4, 5
69, 1490, 2001-02-06, 2, 1, 4
69, 1490, 2001-02-06, 2, 4, 5
69, 1781, 2001-02-04, 3, 1, 4
69, 1781, 2001-02-04, 3, 4, 5
67, 96, 2001-03-30, 4, 1, 4
67, 96, 2001-03-30, 4, 4, 5
67, 205, 2001-03-27, 5, 1, 4
67, 205, 2001-03-27, 5, 4, 5
67, 249, 2001-03-27, 6, 1, 4
67, 249, 2001-03-27, 6, 4, 5
67, 201, 2001-03-28, 7, 1, 4
67, 201, 2001-03-28, 7, 4, 5
55, 202, 2001-03-14, 8, 1, 4
55, 202, 2001-03-14, 8, 4, 5
55, 121, 2001-03-18, 9, 1, 4
55, 121, 2001-03-18, 9, 4, 5
55, 85, 2001-03-13, 10, 1, 4
55, 85, 2001-03-13, 10, 4, 5
55, 35, 2001-03-16, 11, 1, 4
55, 35, 2001-03-16, 11, 4, 5
73, 285, 2001-03-13, 12, 1, 4
73, 285, 2001-03-13, 12, 4, 5
73, 598, 2001-03-13, 13, 1, 4
73, 598, 2001-03-13, 13, 4, 5
73, 977, 2001-03-11, 14, 1, 4
73, 977, 2001-03-11, 14, 4, 5
73, 516, 2001-03-18, 15, 1, 4
73, 516, 2001-03-18, 15, 4, 5
93, 1841, 2001-03-14, 16, 1, 4
93, 1841, 2001-03-14, 16, 4, 5
93, 1025, 2001-03-08, 17, 1, 4
93, 1025, 2001-03-08, 17, 4, 5
93, 1890, 2001-03-13, 18, 1, 4
93, 1890, 2001-03-13, 18, 4, 5
93, 1355, 2001-03-13, 19, 1, 4
93, 1355, 2001-03-13, 19, 4, 5
77, 1189, 2001-02-12, 20, 1, 4
77, 1189, 2001-02-12, 20, 4, 5
77, 1367, 2001-01-11, 21, 1, 4
77, 1367, 2001-01-11, 21, 4, 5
77, 1370, 2001-02-03, 22, 1, 4
77, 1370, 2001-02-03, 22, 4, 5
77, 1581, 2001-01-23, 23, 1, 4
77, 1581, 2001-01-23, 23, 4, 5
48, 620, 2001-03-28, 24, 1, 4
48, 620, 2001-03-28, 24, 4, 5
48, 511, 2001-03-28, 25, 1, 4
48, 511, 2001-03-28, 25, 4, 5
48, 499, 2001-03-27, 26, 1, 4
48, 499, 2001-03-27, 26, 4, 5
48, 879, 2001-03-28, 27, 1, 4
48, 879, 2001-03-28, 27, 4, 5
82, 1390, 2001-03-12, 28, 1, 4
82, 1390, 2001-03-12, 28, 4, 5
82, 1755, 2001-03-17, 29, 1, 4
82, 1755, 2001-03-17, 29, 4, 5
82, 1827, 2001-03-11, 30, 1, 4
82, 1827, 2001-03-11, 30, 4, 5
82, 1548, 2001-03-11, 31, 1, 4
82, 1548, 2001-03-11, 31, 4, 5
10, 1577, 2001-01-16, 32, 1, 4
10, 1577, 2001-01-16, 32, 4, 5
10, 1329, 2001-02-05, 33, 1, 4
10, 1329, 2001-02-05, 33, 4, 5
10, 1954, 2001-02-27, 34, 1, 4
10, 1954, 2001-02-27, 34, 4, 5
10, 1198, 2001-01-31, 35, 1, 4
10, 1198, 2001-01-31, 35, 4, 5
43, 846, 2001-03-13, 36, 1, 4
43, 846, 2001-03-13, 36, 4, 5
43, 535, 2001-03-18, 37, 1, 4
43, 535, 2001-03-18, 37, 4, 5
43, 461, 2001-03-13, 38, 1, 4
43, 461, 2001-03-13, 38, 4, 5
43, 819, 2001-03-12, 39, 1, 4
43, 819, 2001-03-12, 39, 4, 5
63, 33, 2001-03-14, 40, 1, 4
63, 33, 2001-03-14, 40, 4, 5
7, 643, 2001-03-29, 41, 1, 4
7, 643, 2001-03-29, 41, 4, 5
75, 1888, 2001-03-11, 42, 1, 4
75, 1888, 2001-03-11, 42, 4, 5
98, 138, 2001-03-14, 43, 1, 4
98, 138, 2001-03-14, 43, 4, 5
97, 1656, 2001-03-21, 44, 1, 4
97, 1656, 2001-03-21, 44, 4, 5
91, 878, 2001-03-11, 45, 1, 4
91, 878, 2001-03-11, 45, 4, 5
89, 434, 2001-03-13, 46, 1, 4
89, 434, 2001-03-13, 46, 4, 5
95, 1170, 2001-03-14, 47, 1, 4
95, 1170, 2001-03-14, 47, 4, 5
36, 1148, 2001-03-11, 48, 1, 4
36, 1148, 2001-03-11, 48, 4, 5
40, 134, 2001-02-09, 49, 1, 4
40, 134, 2001-02-09, 49, 4, 5
51, 4467, 2001-03-14, 50, 1, 4
51, 4467, 2001-03-14, 50, 4, 5
81, 213, 2001-03-12, 51, 1, 4
81, 213, 2001-03-12, 51, 4, 5
56, 1367, 2001-03-13, 52, 1, 4
56, 1367, 2001-03-13, 52, 4, 5
9, 1356, 2001-03-30, 53, 1, 4
9, 1356, 2001-03-30, 53, 4, 5
96, 364, 2001-02-03, 54, 1, 4
96, 364, 2001-02-03, 54, 4, 5
49, 59, 2001-01-14, 55, 1, 4
49, 59, 2001-01-14, 55, 4, 5
54, 4176, 2001-01-20, 56, 1, 4
54, 4176, 2001-01-20, 56, 4, 5
60, 247, 2001-02-03, 57, 1, 4
60, 247, 2001-02-03, 57, 4, 5
12, 428, 2001-03-27, 58, 1, 4
12, 428, 2001-03-27, 58, 4, 5
64, 4783, 2001-03-11, 59, 1, 4
64, 4783, 2001-03-11, 59, 4, 5
26, 142, 2001-03-27, 60, 1, 4
26, 142, 2001-03-27, 60, 4, 5
41, 234, 2001-03-30, 61, 1, 4
41, 234, 2001-03-30, 61, 4, 5
76, 3271, 2001-03-11, 62, 1, 4
76, 3271, 2001-03-11, 62, 4, 5
68, 429, 2001-03-13, 63, 1, 4
68, 429, 2001-03-13, 63, 4, 5
80, 165, 2001-03-09, 64, 1, 4
80, 165, 2001-03-09, 64, 4, 5
21, 4961, 2001-03-29, 65, 1, 4
21, 4961, 2001-03-29, 65, 4, 5
61, 1511, 2001-03-27, 66, 1, 4
61, 1511, 2001-03-27, 66, 4, 5
38, 170, 2001-03-12, 67, 1, 4
38, 170, 2001-03-12, 67, 4, 5
29, 780, 2001-03-30, 68, 1, 4
29, 780, 2001-03-30, 68, 4, 5
46, 94, 2001-03-13, 69, 1, 4
46, 94, 2001-03-13, 69, 4, 5
24, 151, 2001-03-29, 70, 1, 4
24, 151, 2001-03-29, 70, 4, 5
18, 84, 2001-03-28, 71, 1, 4
18, 84, 2001-03-28, 71, 4, 5
31, 247, 2001-03-02, 72, 1, 4
31, 247, 2001-03-02, 72, 4, 5
2, 573, 2001-01-23, 73, 1, 4
2, 573, 2001-01-23, 73, 4, 5
6, 227, 2001-03-27, 74, 1, 4
6, 227, 2001-03-27, 74, 4, 5
78, 13, 2001-03-23, 75, 1, 4
78, 13, 2001-03-23, 75, 4, 5
71, 629, 2001-03-12, 76, 1, 4
71, 629, 2001-03-12, 76, 4, 5
22, 54, 2001-03-13, 77, 1, 4
22, 54, 2001-03-13, 77, 4, 5
59, 256, 2001-03-09, 78, 1, 4
59, 256, 2001-03-09, 78, 4, 5
34, 161, 2001-02-05, 79, 1, 4
34, 161, 2001-02-05, 79, 4, 5
32, 976, 2001-03-29, 80, 1, 4
32, 976, 2001-03-29, 80, 4, 5
32, 976, 2001-03-30, 81, 1, 4
32, 976, 2001-03-30, 81, 4, 5
