looked_for_variant,bought_variant,session_id
1013589424,1013589434,c3404640-e05e-012f-41d8-3c0754157aba
1013589426,1013589434,c33e79a0-e05e-012f-41d8-3c0754157aba
1013589426,1013589424,c33e79a0-e05e-012f-41d8-3c0754157aba
1013589424,1013589434,c33631d0-e05e-012f-41d8-3c0754157aba
1013589424,1013589426,c33631d0-e05e-012f-41d8-3c0754157aba
1013589428,1013589430,c33a4740-e05e-012f-41d8-3c0754157aba
1013589428,1013589430,c337aff0-e05e-012f-41d8-3c0754157aba
1013589426,1013589434,c340ee20-e05e-012f-41d8-3c0754157aba
1013589426,1013589424,c340ee20-e05e-012f-41d8-3c0754157aba
1013589424,1013589434,c33d4800-e05e-012f-41d8-3c0754157aba
1013589424,1013589426,c33d4800-e05e-012f-41d8-3c0754157aba
1013589422,1013589417,c336eff0-e05e-012f-41d8-3c0754157aba
1013589424,1013589434,c33c1860-e05e-012f-41d8-3c0754157aba
1013589424,1013589434,c33b7250-e05e-012f-41d8-3c0754157aba
