id,session_id,user_id,action,created_at,parameters
56515,c3033c30-e05e-012f-41d8-3c0754157aba,28020570,S,"2012-09-14 05:55:50","{""product"": 489273655}"
56516,c3037f50-e05e-012f-41d8-3c0754157aba,661521543,S,"2012-09-14 05:55:50","{""product"": 1013589417}"
56517,c303bac0-e05e-012f-41d8-3c0754157aba,661521543,S,"2012-09-14 05:55:50","{""product"": 1001480408}"
56518,c303fa50-e05e-012f-41d8-3c0754157aba,956993830,S,"2012-09-14 05:55:50","{""product"": 489273655}"
56519,c3044720-e05e-012f-41d8-3c0754157aba,956993830,S,"2012-09-14 05:55:50","{""product"": 52862384}"
56520,c3048c70-e05e-012f-41d8-3c0754157aba,956993830,S,"2012-09-14 05:55:50","{""product"": 1013589426}"
56521,c304d0d0-e05e-012f-41d8-3c0754157aba,261603145,S,"2012-09-14 05:55:50","{""product"": 599112055}"
56522,c3051510-e05e-012f-41d8-3c0754157aba,936450328,S,"2012-09-14 05:55:50","{""product"": 1013589435}"
56523,c3055990-e05e-012f-41d8-3c0754157aba,936450328,S,"2012-09-14 05:55:50","{""product"": 504220342}"
56524,c3059b20-e05e-012f-41d8-3c0754157aba,936450328,S,"2012-09-14 05:55:50","{""product"": 1013589422}"
56525,c305d7d0-e05e-012f-41d8-3c0754157aba,936450328,S,"2012-09-14 05:55:50","{""product"": 1013589417}"
56526,c3062550-e05e-012f-41d8-3c0754157aba,936450328,S,"2012-09-14 05:55:50","{""product"": 429921481}"
56527,c3066e70-e05e-012f-41d8-3c0754157aba,936450328,S,"2012-09-14 05:55:50","{""product"": 438855057}"
56528,c306ba20-e05e-012f-41d8-3c0754157aba,172816471,S,"2012-09-14 05:55:50","{""product"": 336514991}"
56529,c3071ee0-e05e-012f-41d8-3c0754157aba,172816471,S,"2012-09-14 05:55:50","{""product"": 438855057}"
56530,c3077380-e05e-012f-41d8-3c0754157aba,172816471,S,"2012-09-14 05:55:50","{""product"": 157039898}"
56531,c307bc40-e05e-012f-41d8-3c0754157aba,172816471,S,"2012-09-14 05:55:50","{""product"": 78660486}"
56532,c3080860-e05e-012f-41d8-3c0754157aba,172816471,S,"2012-09-14 05:55:50","{""product"": 489273655}"
56533,c30856b0-e05e-012f-41d8-3c0754157aba,172816471,S,"2012-09-14 05:55:50","{""product"": 489273655}"
56534,c308a5e0-e05e-012f-41d8-3c0754157aba,172816471,S,"2012-09-14 05:55:50","{""product"": 1013589422}"
56535,c308f190-e05e-012f-41d8-3c0754157aba,172816471,S,"2012-09-14 05:55:50","{""product"": 215054540}"
56536,c30942d0-e05e-012f-41d8-3c0754157aba,835918637,S,"2012-09-14 05:55:50","{""product"": 748173072}"
56537,c3098f40-e05e-012f-41d8-3c0754157aba,835918637,S,"2012-09-14 05:55:50","{""product"": 1013589415}"
56538,c309d860-e05e-012f-41d8-3c0754157aba,872804629,S,"2012-09-14 05:55:50","{""product"": 954827632}"
56539,c30a24b0-e05e-012f-41d8-3c0754157aba,872804629,S,"2012-09-14 05:55:50","{""product"": 1013589416}"
56540,c30a6a90-e05e-012f-41d8-3c0754157aba,872804629,S,"2012-09-14 05:55:50","{""product"": 1013589449}"
56541,c30ad1e0-e05e-012f-41d8-3c0754157aba,872804629,S,"2012-09-14 05:55:50","{""product"": 52862384}"
56542,c30b1d10-e05e-012f-41d8-3c0754157aba,1057526564,S,"2012-09-14 05:55:50","{""product"": 52862384}"
56543,c30b8640-e05e-012f-41d8-3c0754157aba,1057526564,S,"2012-09-14 05:55:50","{""product"": 52862384}"
56544,c30bd450-e05e-012f-41d8-3c0754157aba,1057526564,S,"2012-09-14 05:55:50","{""product"": 1013589426}"
56545,c30c1e30-e05e-012f-41d8-3c0754157aba,1057526564,S,"2012-09-14 05:55:50","{""product"": 504220342}"
56546,c30c6e30-e05e-012f-41d8-3c0754157aba,1057526564,S,"2012-09-14 05:55:50","{""product"": 1013589442}"
56547,c30ccc00-e05e-012f-41d8-3c0754157aba,1057526564,S,"2012-09-14 05:55:50","{""product"": 1013589428}"
56548,c30d1960-e05e-012f-41d8-3c0754157aba,1057526564,S,"2012-09-14 05:55:50","{""product"": 1013589424}"
56549,c30d67c0-e05e-012f-41d8-3c0754157aba,135242632,S,"2012-09-14 05:55:50","{""product"": 215054540}"
56550,c30db270-e05e-012f-41d8-3c0754157aba,135242632,S,"2012-09-14 05:55:50","{""product"": 1013589413}"
56551,c30e10f0-e05e-012f-41d8-3c0754157aba,113658691,S,"2012-09-14 05:55:50","{""product"": 1013589441}"
56552,c30e5930-e05e-012f-41d8-3c0754157aba,113658691,S,"2012-09-14 05:55:50","{""product"": 1013589413}"
56553,c30e9e30-e05e-012f-41d8-3c0754157aba,113658691,S,"2012-09-14 05:55:50","{""product"": 1013589448}"
56554,c30edff0-e05e-012f-41d8-3c0754157aba,113658691,S,"2012-09-14 05:55:50","{""product"": 215054540}"
56555,c30f2580-e05e-012f-41d8-3c0754157aba,711025848,S,"2012-09-14 05:55:50","{""product"": 1013589446}"
56556,c30f6e30-e05e-012f-41d8-3c0754157aba,711025848,S,"2012-09-14 05:55:50","{""product"": 1013589414}"
56557,c30fc630-e05e-012f-41d8-3c0754157aba,711025848,S,"2012-09-14 05:55:50","{""product"": 336514991}"
56558,c3100fa0-e05e-012f-41d8-3c0754157aba,711025848,S,"2012-09-14 05:55:50","{""product"": 1013589426}"
